company_name,profile_url,company_website,location,tags,founding_date,founders,employee_range,urls,emails,phones,description_short,description
Benefit.X,https://e27.co/startups/benefitx/,https://benefit.exchange,Singapore,"Artificial Intelligence,Big Data,Consumer,Enterprise Solution,Finance,Human Resources,Productivity & CRM,Software as a Service",2019-11,,,"https://www.linkedin.com/showcase/benefitx,  https://www.facebook.com/benefitx,",,,Benefit.X equips Small Businesses with Corporate Credit Cards and compliments their business operations with a cutting-edge Benefits and Human Resource Management (HRM) solution.,"Benefit.X equips Small Businesses with Corporate Credit Cards and compliments their business operations with a cutting-edge Benefits and Human Resource Management (HRM) solution.

We want to make running a company as simple as possible by eliminating credit woes and focus on scaling your business. Alleviate your HR frustrations by providing convenient access to self-administered tools for your employees to manage their HR entitlements and benefits information.

Visit https://benefit.exchange to find out more!"
Sparrow,https://e27.co/startups/sparrow/,http://www.sparrowexchange.com,Singapore,"Blockchain,Finance,Information & Communications Technology",2018-1,,,"https://www.linkedin.com/company/sparrowexchange/, Sparrowexchange, https://www.facebook.com/SparrowExchange,",media@sparrowexchange.com,,"Take Control, Trade Confidently | Sparrow is the leading options trading platform, providing the simplest and safest way to control risk and monetize your digital assets.","Sparrow  | www.sparrowexchange.com is the leading options trading platform, providing the simplest and safest way to control risk and monetize your digital assets. Trade with confidence on the world’s best trustless options trading platform powered by smart contracts. 

Headquartered in Singapore, Sparrow offers fully-customizable options settled by smart contract in an intuitive and easy-to-use trading interface. Professional traders will also be able to use Sparrow APIs for maximum performance. Sparrow aims to serve the needs of all traders by providing a wide range of industry-leading trading tools.

Sparrow is backed by renowned organizations such as: Signum Capital, Hyperchain Capital, Kyber Network, LuneX Ventures, Arrington XRP Capital, Digital Currency Holdings, Du Capital, The Yozma Group, QCP Capital, 256 Ventures and Jubilee Capital who firmly believe in the project and have committed to use Sparrow as their preferred hedging partner."
Sparrow Exchange,https://e27.co/startups/sparrow-exchange/,http://www.sparrowexchange.com,Singapore,"Blockchain,Finance",2018-1,,,"https://www.linkedin.com/company/sparrowsg/, SparrowExchange, ",,,"Sparrow is the leading options trading platform, providing the simplest way to
control risk and monetize your digital assets. Our revolutionary platform empowers
institutions and individuals to trade","Headquartered in Singapore, Sparrow offers customizable options settled by smart
contract in an intuitive and easy-to-use trading interface. 

Sparrow is backed by renowned organizations such as: Signum Capital, Hyperchain
Capital, Kyber Network, LuneX Ventures, Arrington XRP Capital, Digital Currency
Holdings, Du Capital, The Yozma Group, QCP Capital, 256 Ventures and Jubilee
Capital who firmly believe in the project and have committed to use Sparrow as
their preferred hedging partner."
GC Coupons,https://e27.co/startups/gc-coupons/,https://gccoupons.com/,United Arab Emirates,"Consumer,E-commerce,Internet of Things",2020-1,,,"  https://www.facebook.com/GCCcoupons/,",,,"GC Coupons provides coupon codes, promo codes, deals and vouchers for top online retailers in the Middle East and South Asia. We help people save money every time they shop online.","GC Coupons provides exclusive coupon codes, deals, voucher codes, and promo codes for top online retailers in the Middle East and South Asia. We help people save money every time they shop online. We have more than 1000 exclusive coupon codes and more than 250 online retailers listed on our platform."
Ssivix Lab,https://e27.co/startups/ssivixlab/,http://www.ssivixlab.com,Singapore,"Healthtech,Medtech,Artificial Intelligence,Smart Cities",2017-5,,,"https://www.linkedin.com/in/ssivix-lab/, myclnq, http://www.facebook.com/myclnq,",partners@ssivixlab.com,,Enabling a digital health ecosystem beyond hospital and clinics. Providing smart choices of Digital Health for betterment of community. We changing the way healthcare service receive within community.,"Ssivix Lab aims to help our community and citizen with respect to live smartly and digitally. Our objective to Connect all your healthcare needs at one platform using deep technology.

Current in our community we are having issues in terms of seeing doctor neighborhood as waiting time is long, finding a Medical Transport as hassle to call and no price transparency, getting a right caregiver for elderly, no specific for elderly medical product and supplement, getting a home therapy for grandma/grandpa etc. 

Our unique MyCLNQ  application is an ecosystem for all you healthcare needs at fingertips.  With the objective for betterment of our community. This breakthrough solution has in built Artificial Intelligence feature which suggest the nearest earliest available doctor and clinic availability. 

Medical Transport module is an unique and innovative feature which is enable to get faster Medical Transport and wheelchair fleet digitally. It gives price transparency, chat with provider and paperless invoicing. Fast and efficiently for elderly and active aging population 

Medical Caregiver feature finding a right caregiver or medical escort or companion at your fingertip. You can search and find based on your preference and system AI feature will search best fit based on request caregiver, home nursing, medical assist etc. 

Company understands the current challenge and competitive era where long term sustainability is quite critical. Therefore, company has long term sustainable business model.

Company main focus in cutting edge and innovating technology to help community."
FluenceSoft,https://e27.co/startups/fluencesoft/,http://fluencesoft.com,India,"Artificial Intelligence,Enterprise Solution,Information & Communications Technology,Software as a Service",2019-6,,,  ,,,"Multichannel AI bots Agent platform for sales, marketing and support.",we provide AI automation support solution for  SME companies.
Jobscaptain,https://e27.co/startups/jobscaptain/,https://jobscaptain.com/,India,Education,2017-6,,,"https://in.linkedin.com/in/jobs-captain-58181b150, jobs_captain, https://www.facebook.com/JobsCaptain/,",jobscaptain123@gmail.com,,JobsCaptain India's best job career website provide new government job updates and all Study Materials free download. Updated Daily GK Current Affairs pdf.,"JobsCapatin is a well known and trusted education study portal that caters to the need of every candidate who is looking forward to seek knowledge and study materials for various entrance exams. Be it well updated Books, online MCQ Quiz or mock tests, it has a range of quality study material that you may choose as per your preference to make your preparation even more better.

To serve better and comprehensive way, it has moved a level further and launched the section of Free Online Quizzes under the JobsCaptain. This is a unique initiative in which student can simply start taking the free tests on verbal ability, current affairs, general knowledge,  reasoning quantitative aptitude and many more various subject."
"Softweb Solutions Inc, An Avnet Company",https://e27.co/startups/softweb-solutions-inc/,https://www.softwebsolutions.com/,United Sta,"Enterprise Solution,Chemical,E-commerce",2004-1,,,"https://www.linkedin.com/company/softweb-solutions, softwebchicago, https://www.facebook.com/SoftwebSolutionsInc,",mehul.nayak@softwebsolutions.com,,"Founded in 2004, Softweb Solutions is one of the fastest growing tech consulting companies in Chicago providing state-of-the-art IoT solutions.","Softweb Solutions Inc. is an Avnet company with offi­ces in Chicago, Dallas and Ahmedabad. We deliver best-of-breed AI software for IoT applications, along with providing data services and digital transformation to enterprises. Over a decade of experience with startups to Fortune 100 companies has given us the proficiency to offer strategy, design, engineering solutions, and R&D services."
RKA InfoTech,https://e27.co/startups/rka-infotech/,https://www.rkainfotech.com/,India,"Software as a Service,Information & Communications Technology",2020-1,,,"https://www.linkedin.com/company/6459553/admin/, Rkainfotech, https://www.facebook.com/RKAinfo,",rkainfotech@gmail.com,,"RKA Infotech a best Web Design and website development company in Delhi NCR. We are specializing in web design, Ecommerce Website Design, SEO and Digital marketing services in reasonable prices.","RKA Infotech is a globally top-rated web application development company, who provides custom web development services. We build business-friendly, user-centric and innovative, web and app development for your business at the best price."
Zengage,https://e27.co/startups/zengage/,https://www.getzengage.com/,Singapore,"Consumer,E-commerce,Advertising,Retail",2019-1,,,"https://www.linkedin.com/company/zengagesoftware/,  ",,,Zengage is a consumer confidence tool for e-commerce. Their SaaS increases online revenue by displaying the information consumers need to feel confident to make their decision while buying products.,"Most major lifestyle brands, such as beauty, skincare or sports apparel labels, traditionally only generate a small fraction of their sales online versus offline. Even the most iconic, much-loved global labels struggle to drive sales on their web properties. E-commerce is not effective at convincing shoppers. This has become a bigger problem as Covid-19 has forced many traditionally offline brands to focus their sales online. 

Zengage allows brands to collect, analyse and display what people say about their products online. The cornerstone of our business is to harness online reviews to help consumers navigate the online shopper journey.  Customers use our embeddable widgets to grow their sales by showing core benefit statements, best-converting customer quotes and testimonials on their web properties. Our ML algorithms learn from every customer interaction and purchase decision to get better at driving growth. This sales-optimized data also fuels a platform for brand managers to improve the performance of future product lines."
Nitex,https://e27.co/startups/nitex/,https://www.nitex.info,Singapore,"Logistics\/Supply Chain,Manufacturing,Marketplace,Platform",2017-6,,,"https://www.linkedin.com/company/nitexofficial/, nitexofficial, https://www.facebook.com/officialnitex/,",sadat@nitex.info,,Nitex simplifies apparel manufacturing for EVERYONE!,"International apparel manufacturing is inaccessible and complex for millions of SME fashion brands, e-commerce, and micro-entrepreneurs across the EU and North American markets.

Nitex simplifies their entire apparel manufacturing journey; from product design to mass manufacturing to shipping until goods reach their warehouses. Brands can access all 3 services on a single platform.

They get exclusive product designs or can upload their own inquiries to get standard quotes, work with experts, and start productions with just a few clicks. And the entire journey has been made trackable from design to delivery.

Inside 24 months, we have earned US $2.5M GMV with 55% net profit and signed US $7M contracts with 2 customers for 10 years. 90% of our customers across the EU and North America came back doubling their order value and helped us grow at the rate of 150% QoQ.

Recently in June 2020, we launched our self-functioning application for individual fashion entrepreneurs to run their entire value chain without any human intervention. This is intended to boost our inbound sales to achieve US $5M GMV by the end of the year.

Nitex, being incorporated in Singapore, is currently raising US$500k to push 10X growth in 2021."
HeadTech 1o1,https://e27.co/startups/headtech-1o1/,http://www.headtech1o1.com,Singapore,Education,2020-5,,,"https://www.dropbox.com/s/eogn7hcgb857u0e/HeadTech1o1_Pitch-Deck_Lr.pdf?dl=0,  ",,,"The First, Online Olympic Level Training and Certification for Technical Officials of Combat Sports.","HeadTech 1o1 is the idea of Ryan Rudkin, a well-known and much respected trainer of Referee & Judges for Muaythai worldwide.

Our founder's aim is to provide Olympic standard tuition globally to combat sports enthusiasts, a central community resource hub, and a means to gain accreditation irrespective of location.

Ryan spearheaded a rewrite of the rulebook for Muaythai for the upcoming Olympic worldwide events, and is the rules consultant for MMA worldwide.

His career as a Muaythai referee & judge spans 15 years, and he has identified several fundamental flaws with the tuition for combat sports technical officials, that he aims to correct and enhance.

*We are currently seeking a lead investor"
Amanotes,https://e27.co/startups/amanotes/,https://amanotes.com/,Singapore,"Entertainment,Gaming,Mobile",2014-12,,,"https://www.linkedin.com/company/amanotes/,  http://www.facebook.com/amanotes,",,,We are Amanotes! A fast-growing startup in the music-tech industry from Vietnam. We seek to delight people with interactive music experiences.,"We are Amanotes! A fast-growing startup in the music-tech industry from Vietnam. We seek to delight people with interactive music experiences. 

Since 2014, 30+ music games and mobile applications were published under our name with more than 1 Billion downloads worldwide and nearly 100 million monthly active users. In 2019, we were proudly listed as the #1 mobile apps publisher from Southeast Asia, the #1 music games publisher in the world, and one of the top 20 mobile apps publishers in the world across all categories. 

If you love to work in a friendly and fun environment with music all around the corner, come join us!

Explore our products on Google Play and iOS App Store such as Magic Tiles 3, Tiles Hop, Dancing Ballz, and more!"
CardUp,https://e27.co/startups/cardup/,http://www.cardup.co,Singapore,"Consumer,Finance,Software as a Service",2015-10,,,"http://www.linkedin.com/company/cardup,  https://www.facebook.com/CardUpAsia/,",nicki@cardup.co,,"CardUp's secure online platform enables individuals and businesses to use credit card for big ticket payments such as rent, taxes, suppliers or payroll, even if the recipient doesn’t accept cards.","CardUp's secure online payment platform offers a new way to pay all your monthly recurring expenses and maximise the benefits of your credit card. Both individuals and businesses can use their existing credit card where they couldn’t before, specifically for big ticket items such as paying rent, taxes, suppliers or payroll.

Forget the long lead times and collateral involved in traditional financing options and access up to 55 days credit instantly via your existing credit card. Improve your cashflow whilst at the same time earning rewards, miles and cashback on all your big payments!

This is an exciting opportunity to join a rapidly growing and fast paced company backed by global and regional investors. CardUp was part of the inaugural class of The FinLab (a Singapore-based fintech accelerator run by United Overseas Bank), a finalist in The Monetary Authority of Singapore’s Global Hackcelerator 2016 and more recently selected for Mastercard Start Path 2017."
Begin Invest,https://e27.co/startups/begin-invest/,https://www.begininvest.com/,India,Education,2018-4,,,"https://www.linkedin.com/company/begin-invest/, begin_invest, https://www.facebook.com/begininvest/,",info@begininvest.com,,"Begin invest is The Best Financial Education Provider. Get knowledge about mutual fund, sip and share market. Learn investing and kick start your investment journey.","Begin Invest is a platform providing knowledge about the complex financial and capital markets of India in a very simple and easy to understand language. We help our users in getting easy access to information and understanding regarding the financial markets around the globe. We also provide our users with facilities like broking, Portfolio management services and investment advisory that are aimed at making our user's investment path easier and more lucrative. Begin Invest is a platform that is designed to kick start the investment journey of the new investors who are preparing to enter the financial markets."
Horizon Quantum,https://e27.co/startups/horizon-quantum/,http://horizonquantum.com/,Singapore,Software as a Service,2018-1,,,  ,,,Horizon Quantum Computing is developing a new generation of programming tools to simplify and expedite the process of developing software for quantum computers. By removing the need for prior quantum,"Horizon Quantum Computing is developing a new generation of programming tools to simplify and expedite the process of developing software for quantum computers. By removing the need for prior quantum computing experience, Horizon’s tools will democratise the development of quantum-enhanced applications, making the power of quantum computing accessible to every software developer."
KNNB,https://e27.co/startups/knnb-pte-ltd/,https://knnb.app,Singapore,"Artificial Intelligence,Travel,Big Data,Advertising,Information & Communications Technology",2020-5,,,"https://www.linkedin.com/in/peter-tai-hock-yie-92869835/,  ",,,"Disrupting the future travel industry with a platform for traveler to share videos and itineraries, and get rewarded. We use AI to plan itinerary within seconds, passively.","We are an IT startup focuses on application of AI to assist travel decision making. We design a system or an application (Patent pending) that plan itinerary within seconds, passively. 

Currently, we have designed the prototype while the actual product Travelmew is under development stage. We plan to launch the MVP in 2020 Q4. We present it as a Travel Short Video & Itinerary Sharing App with machine-learning capability, a place that attracts worldwide travel KOL and allow users to monetize. We are partnering with travel KOL / ambassadors to promote ""Travel Safe"" with post-Covid-19 ""New Normal"" phenomenon, since many countries have restarted domestic travel activities recently.

Our goal is to let users sit back, relax and watch travel short videos, and pop! A personalized itinerary is recommended automatically. For social contribution, our product is expected to assist at least 1 million people in travel industry across the globe and increase their income level within 4 years.

We are coming up with ""Freelance Travel Ambassador"" campaign to help people in travel industry to get income (get paid with their previous travel experience!). Please talk to us and discuss about partnership. 

We are also engaging investors to speed up our commercial plan. Check-out our 1 minute video: https://youtu.be/U04X2IU2Wlw

Please do not hesitate to contact us at peter.tai@knnb.app !"
SYNQA,https://e27.co/startups/synqa/,https://www.synqa.co/,Thailand,Finance,2015-1,,,"https://www.linkedin.com/company/synqa/,  ",,,"SYNQA specializes in online payment, blockchain technology for fintech, and digital transformation.","SYNQA (formerly Omise Holdings) is a holding company founded in 2015 with expertise in Asia. SYNQA specializes in online payment, blockchain technology for fintech, and digital transformation. SYNQA connects people, businesses and society in innovative ways that spread the wealth of financial opportunity and provide fair and open access to a growing economic ecosystem. For more information on SYNQA, visit www.synqa.co or follow us on Twitter."
BOOQED,https://e27.co/startups/booqed/,http://www.booqed.com,Hong Kong,"Marketplace,Mobile,Platform,Real Estate,Sharing Economy",2016-9,,,"https://www.linkedin.com/company/booqed/, getbooqed, https://www.facebook.com/getbooqed,",,,"BOOQED is a digital marketplace for short-term, flexible commercial space options. We enable corporates to find and landlords to monetize short-term, unused business spaces.","***Hong Kong / Singapore / Shenzhen / Shanghai / Taipei / Kuala Lumpur / Bangkok / Jakarta ***

Quickly and easily finding the best spaces to work, meet or have an event means dealing with many unknowns, and a lot of wasted time and effort. Powered by technology and human expertise, BOOQED takes care of everything for you, from searching to booking and payment.

Problem: 
Shift in work culture and pressure for corporates to reduce real-estate costs means a growing need for short-term, flexible options. The COVID-19 pandemic has emphasized the need for flexibility and cost-savings in workplace options. But finding these spaces is painful and time-consuming. Tenants and landlords lack options to find or monetize unused space. Lack of transparency and hidden costs create trust issues between landlord/tenant. 

Solution: 
The BOOQED platform quickly and easily facilitates transactions between tenants needing short-term space and services and with any unused  or underutilized space. BOOQED reduces rental expense of tenants by providing flexible, short-term space options while increasing revenue for landlords and suppliers by monetizing unused space.

Part of the inaugural Colliers Techstars PropTech accelerator in 2018, BOOQED today has 2,000+ listings on its platform and works with over 50 corporate clients to support their workspace and meeting needs."
Jendela360,https://e27.co/startups/jendela360/,https://jendela360.com,Indonesia,Real Estate,2016-1,,,"  https://www.facebook.com/jendela360/,",jendela360@gmail.com,,An online based apartment agency that focuses on serving long-term rent of apartment unit in Indonesia with excellent all-in-one services.,"We are an online real estate agency that utilizes 360'​ technology and serves all the online and offline procedures needed to facilitate a deal between apartment owners and renters in Jakarta in a much simpler way. Our website provides 9000+ apartment units in Indonesia. Through many innovations, including 360 virtual tour, credit card installments, hotline customer service, we believe that we will become the no. 1 choice for them when they are looking to find an apartment for their stay.

We are looking for open-minded and passionate talents to join our team. If you think you're the right person, let's ride together!"
Milk Mantra,https://e27.co/startups/milk-mantra/,https://www.milkmantra.com/index.html,India,"Food & Beverage,Agritech",2018-1,,,"https://www.linkedin.com/company/milkmantra,  ",,,Milk Mantra is India’s 1st VC funded agri food venture and has been a pioneer in bringing an entrepreneurial revolution in the dairy sector in India and in addressing the widespread consumer trust def,"Milk Mantra is India’s 1st VC funded agri food venture and has been a pioneer in bringing an entrepreneurial revolution in the dairy sector in India and in addressing the widespread consumer trust deficit. With a differentiated conscious capital approach we create Truly Pure products and have built Milky Moo into the fastest growing food brand in the country.

Founded by Srikumar Misra, Milk Mantra has received funding from both impact & global mainstream investors and is a transformational high growth business that has been covered extensively by international publications including The Wall Street Journal, Forbes, & Fortune, and is a case study in Stanford Business School & Indian Institute of Management Ahmedabad.

The Milky Moo range is available across Eastern India. At the heart of the company is Functional Innovation and  its Ethical Milk Sourcing with the motto of Happy Farmers = Happy Cows = Best Milk and it directly impacts more than 55,000 farmers in Odisha has increased farmer income by 40%."
K Hotel,https://e27.co/startups/k-hotel/,https://www.khotel.co/,Singapore,Real Estate,2018-1,,,  ,,,"Offering free WiFi, K Hotel offers accommodations in Singapore, 2.1 km from Singapore Sports Hub and 3.2 km from Bugis Street. The property is around 3.2 km from Mustafa Center, 3.5 km from Suntec Cit","Offering free WiFi, K Hotel offers accommodations in Singapore, 2.1 km from Singapore Sports Hub and 3.2 km from Bugis Street. The property is around 3.2 km from Mustafa Center, 3.5 km from Suntec City and 3.9 km from Singapore Flyer. Located in the Kallang district, the hotel is within 4 km of Suntec Singapore Convention & Exhibition Centre.

Guest rooms in the hotel are equipped with a electric tea pot. Rooms include a private bathroom. All guest rooms at K Hotel have air conditioning and a desk.

Speaking English and Chinese at the reception, staff are ready to help around the clock.

Singapore Art Museum is 4.2 km from the accommodation.

We speak your language!"
Jireh Group - GetDoc,https://e27.co/startups/jireh-group-getdoc/,http://www.getdoc.com,Singapore,"Healthtech,Insurtech,Blockchain,Platform,Big Data,Software as a Service",2016-12,,,  ,,,"We are a health & insurance technology delivering innovative solutions that connects medical providers, users & insurance companies to simplify and enhance user experience and engagements across ASEAN",<Amalia>
Alphanova Pte Ltd,https://e27.co/startups/alphanova-pte-ltd/,http://www.alphanova.com.sg,Singapore,"Singapore,Information & Communications Technology",2014-9,,,  ,,,Alphanova Pte Ltd serves companies looking for a reliable partner to innovate and grow their e-businesses in Asia Pacific.,"The main focus of Alphanova is Digital 
Intelligence, covering applications development, providing advanced solutions and both Technical and Business consulting."
Lyratics Technologies,https://e27.co/startups/lyratics-technologies-sdn-bhd/,http://lyratics.com,Malaysia,Information & Communications Technology,2019-11,,,"http://linkedin.com/company/lyratics,  http://facebook.com/lyratics,",,,Top Web App & Software Developer In Malaysia,"Lyratics Technologies is a premier web & software solutions company that provides end-to-end development services for startups, SMEs and corporate firms across South East Asia & China. We handle the complete web & software development lifecycle including analysis, design, development, QA/Testing, deployment, maintenance, cloud hosting and beyond.

With 9 years of industrial experience, our core expertise relates to the fields of Custom Web Applications, Multi Level Marketing (MLM), E-Commerce & Online Marketplaces, Inventory Management Systems, Online Booking Systems (Accomodation, Travel, Transportation), Web Portals, Content Management Systems (CMS).

Having serviced businesses (Remotely & On Site) across China & South East Asia, we have completed projects working alongside people from diverse background, technically & culturally."
